MUNICIPALITY/BARANGAY, EVACUATION CENTER, DATE OF EVAC,FAMILIES_FEB 17
GRAND TOTAL,,,16380
CAMALIG TOTAL,,,2294
Anoling, Anoling ES/Relocation Site,As of Jan-15-2018,410
Cabangan, Cabangan ES,As of Jan-15-2018, 261
Quirangay, AECID CNS,As of Jan-15-2018,394
Tumpa,CNCS,As of Jan-15-2018, 344
Sua,CNCS,As of Jan-15-2018, 436
Gapo, Iluluan ES,As of Jan-23-2018, 33
Brgy. 1, Caguiba NHS,As of Jan-23-2018, 36
Brgy. 3, Caguiba NHS,As of Jan-23-2018, 43
Libod, Palanog ES,As of Jan-23-2018, 103
Ilawod, Parian ES,As of Jan-23-2018, 6
GUINOBATAN TOTAL,,, 3623
Maninila, Guinobatan East Central School,As of Jan-15-2018,515
Tandarora,Lower Binugsacan Elem. School,As of Jan-15-2018,77
Tandarora (Mabalod), Lower Binugsacan High School, As of Jan-15-2018,199
Malad Bucad Grande, Maladbucad ES; Bubulusan ES; Inascan ES; San Jose ES; Quibobongan ES,As of Jan-15-2018,607
